    FLAG
    996    1870    1
    END
    996      X           Y          Z
    1      0.000000      0.000000      0.000000
    2      0.000000     -0.025000      0.000000
    3      0.000000     -0.050000      0.000000
    4      0.000000     -0.075000      0.000000
    5      0.000000     -0.100000      0.000000
    6      0.000000     -0.125000      0.000000
    7      0.000000     -0.150000      0.000000
    8      0.000000     -0.175000      0.000000
    9      0.000000     -0.200000      0.000000
    10      0.000000     -0.225000      0.000000
    11      0.000000     -0.250000      0.000000
    12      0.000000     -0.275000      0.000000
    13      0.000000     -0.300000      0.000000
    14      0.000000     -0.325000      0.000000
    15      0.000000     -0.350000      0.000000
    16      0.000000     -0.375000      0.000000
    17      0.000000     -0.400000      0.000000
    18      0.000000     -0.425000      0.000000
    19      0.000000     -0.450000      0.000000
    20      0.000000     -0.475000      0.000000
    21      0.000000     -0.500000      0.000000
    22      0.025000     -0.500000      0.000000
    23      0.050000     -0.500000      0.000000
    24      0.075000     -0.500000      0.000000
    25      0.100000     -0.500000      0.000000
    26      0.125000     -0.500000      0.000000
    27      0.150000     -0.500000      0.000000
    28      0.175000     -0.500000      0.000000
    29      0.200000     -0.500000      0.000000
    30      0.225000     -0.500000      0.000000
    31      0.250000     -0.500000      0.000000
    32      0.275000     -0.500000      0.000000
    33      0.300000     -0.500000      0.000000
    34      0.325000     -0.500000      0.000000
    35      0.350000     -0.500000      0.000000
    36      0.375000     -0.500000      0.000000
    37      0.400000     -0.500000      0.000000
    38      0.425000     -0.500000      0.000000
    39      0.450000     -0.500000      0.000000
    40      0.475000     -0.500000      0.000000
    41      0.500000     -0.500000      0.000000
    42      0.500000     -0.475000      0.000000
    43      0.500000     -0.450000      0.000000
    44      0.500000     -0.425000      0.000000
    45      0.500000     -0.400000      0.000000
    46      0.500000     -0.375000      0.000000
    47      0.500000     -0.350000      0.000000
    48      0.500000     -0.325000      0.000000
    49      0.500000     -0.300000      0.000000
    50      0.500000     -0.275000      0.000000
    51      0.500000     -0.250000      0.000000
    52      0.500000     -0.225000      0.000000
    53      0.500000     -0.200000      0.000000
    54      0.500000     -0.175000      0.000000
    55      0.500000     -0.150000      0.000000
    56      0.500000     -0.125000      0.000000
    57      0.500000     -0.100000      0.000000
    58      0.500000     -0.075000      0.000000
    59      0.500000     -0.050000      0.000000
    60      0.500000     -0.025000      0.000000
    61      0.500000      0.000000      0.000000
    62      0.500000      0.025000      0.000000
    63      0.500000      0.050000      0.000000
    64      0.500000      0.075000      0.000000
    65      0.500000      0.100000      0.000000
    66      0.500000      0.125000      0.000000
    67      0.500000      0.150000      0.000000
    68      0.500000      0.175000      0.000000
    69      0.500000      0.200000      0.000000
    70      0.500000      0.225000      0.000000
    71      0.500000      0.250000      0.000000
    72      0.500000      0.275000      0.000000
    73      0.500000      0.300000      0.000000
    74      0.500000      0.325000      0.000000
    75      0.500000      0.350000      0.000000
    76      0.500000      0.375000      0.000000
    77      0.500000      0.400000      0.000000
    78      0.500000      0.425000      0.000000
    79      0.500000      0.450000      0.000000
    80      0.500000      0.475000      0.000000
    81      0.500000      0.500000      0.000000
    82      0.475000      0.500000      0.000000
    83      0.450000      0.500000      0.000000
    84      0.425000      0.500000      0.000000
    85      0.400000      0.500000      0.000000
    86      0.375000      0.500000      0.000000
    87      0.350000      0.500000      0.000000
    88      0.325000      0.500000      0.000000
    89      0.300000      0.500000      0.000000
    90      0.275000      0.500000      0.000000
    91      0.250000      0.500000      0.000000
    92      0.225000      0.500000      0.000000
    93      0.200000      0.500000      0.000000
    94      0.175000      0.500000      0.000000
    95      0.150000      0.500000      0.000000
    96      0.125000      0.500000      0.000000
    97      0.100000      0.500000      0.000000
    98      0.075000      0.500000      0.000000
    99      0.050000      0.500000      0.000000
    100      0.025000      0.500000      0.000000
    101      0.000000      0.500000      0.000000
    102      0.000000      0.475000      0.000000
    103      0.000000      0.450000      0.000000
    104      0.000000      0.425000      0.000000
    105      0.000000      0.400000      0.000000
    106      0.000000      0.375000      0.000000
    107      0.000000      0.350000      0.000000
    108      0.000000      0.325000      0.000000
    109      0.000000      0.300000      0.000000
    110      0.000000      0.275000      0.000000
    111      0.000000      0.250000      0.000000
    112      0.000000      0.225000      0.000000
    113      0.000000      0.200000      0.000000
    114      0.000000      0.175000      0.000000
    115      0.000000      0.150000      0.000000
    116      0.000000      0.125000      0.000000
    117      0.000000      0.100000      0.000000
    118      0.000000      0.075000      0.000000
    119      0.000000      0.050000      0.000000
    120      0.000000      0.025000      0.000000
    121      0.021582     -0.062382      0.000000
    122      0.020355     -0.188558      0.000000
    123      0.478349      0.062500      0.000000
    124      0.476786      0.189453      0.000000
    125      0.476166     -0.239010      0.000000
    126      0.477990     -0.111343      0.000000
    127      0.022520      0.237004      0.000000
    128      0.021651      0.112500      0.000000
    129      0.262535      0.477990      0.000000
    130      0.237500     -0.478349      0.000000
    131      0.024817     -0.286399      0.000000
    132      0.476389      0.283885      0.000000
    133      0.337500     -0.478349      0.000000
    134      0.020009      0.336802      0.000000
    135      0.478349     -0.337500      0.000000
    136      0.162500      0.477968      0.000000
    137      0.137500     -0.478349      0.000000
    138      0.362500      0.477968      0.000000
    139      0.480384     -0.037482      0.000000
    140      0.022400      0.036603      0.000000
    141      0.476148      0.364311      0.000000
    142      0.023610     -0.365586      0.000000
    143      0.477808     -0.413035      0.000000
    144      0.086388      0.478127      0.000000
    145      0.412500     -0.478349      0.000000
    146      0.023147      0.411821      0.000000
    147      0.023411      0.284712      0.000000
    148      0.476162     -0.285491      0.000000
    149      0.476139      0.410834      0.000000
    150      0.022214     -0.412730      0.000000
    151      0.287500     -0.478349      0.000000
    152      0.413246      0.477087      0.000000
    153      0.087500     -0.478349      0.000000
    154      0.476220      0.109558      0.000000
    155      0.477476      0.236909      0.000000
    156      0.312500      0.478349      0.000000
    157      0.212500      0.476314      0.000000
    158      0.023836     -0.111876      0.000000
    159      0.021651     -0.237500      0.000000
    160      0.021651      0.162500      0.000000
    161      0.021651     -0.012500      0.000000
    162      0.187500     -0.478349      0.000000
    163      0.479645     -0.188558      0.000000
    164      0.476888      0.015084      0.000000
    165      0.477481     -0.459220      0.000000
    166      0.478349      0.462500      0.000000
    167      0.022642     -0.460204      0.000000
    168      0.021651      0.462500      0.000000
    169      0.437296     -0.478467      0.000000
    170      0.424966     -0.456718      0.000000
    171      0.399994     -0.456702      0.000000
    172      0.412493     -0.435052      0.000000
    173      0.387498     -0.435049      0.000000
    174      0.399999     -0.413398      0.000000
    175      0.374999     -0.413398      0.000000
    176      0.387500     -0.391747      0.000000
    177      0.362500     -0.391747      0.000000
    178      0.375000     -0.370096      0.000000
    179      0.350000     -0.370096      0.000000
    180      0.362500     -0.348446      0.000000
    181      0.337500     -0.348446      0.000000
    182      0.350000     -0.326795      0.000000
    183      0.325000     -0.326795      0.000000
    184      0.337500     -0.305144      0.000000
    185      0.312500     -0.305144      0.000000
    186      0.325000     -0.283494      0.000000
    187      0.300000     -0.283494      0.000000
    188      0.312500     -0.261843      0.000000
    189      0.287500     -0.261843      0.000000
    190      0.300000     -0.240192      0.000000
    191      0.275000     -0.240192      0.000000
    192      0.287500     -0.218542      0.000000
    193      0.262500     -0.261843      0.000000
    194      0.262500     -0.218542      0.000000
    195      0.275000     -0.196891      0.000000
    196      0.250000     -0.196891      0.000000
    197      0.262500     -0.175240      0.000000
    198      0.237500     -0.175240      0.000000
    199      0.250000     -0.153590      0.000000
    200      0.225000     -0.196891      0.000000
    201      0.275000     -0.153590      0.000000
    202      0.262500     -0.131939      0.000000
    203      0.237500     -0.131939      0.000000
    204      0.250000     -0.110289      0.000000
    205      0.275000     -0.110289      0.000000
    206      0.262500     -0.088638      0.000000
    207      0.237500     -0.088638      0.000000
    208      0.250000     -0.066987      0.000000
    209      0.275000     -0.066987      0.000000
    210      0.262500     -0.045337      0.000000
    211      0.237500     -0.045337      0.000000
    212      0.250000     -0.023686      0.000000
    213      0.275000     -0.023686      0.000000
    214      0.262500     -0.002035      0.000000
    215      0.237500     -0.002035      0.000000
    216      0.250000      0.019615      0.000000
    217      0.225000      0.019615      0.000000
    218      0.237500      0.041266      0.000000
    219      0.262500      0.041266      0.000000
    220      0.250000      0.062917      0.000000
    221      0.275000      0.062917      0.000000
    222      0.262500      0.084567      0.000000
    223      0.237500      0.084567      0.000000
    224      0.250000      0.106218      0.000000
    225      0.275000      0.106218      0.000000
    226      0.262500      0.127868      0.000000
    227      0.237500      0.127868      0.000000
    228      0.250000      0.149519      0.000000
    229      0.225000      0.149519      0.000000
    230      0.237500      0.171170      0.000000
    231      0.262500      0.171170      0.000000
    232      0.250000      0.192820      0.000000
    233      0.275000      0.192820      0.000000
    234      0.262500      0.214471      0.000000
    235      0.237500      0.214471      0.000000
    236      0.250000      0.236122      0.000000
    237      0.275000      0.236122      0.000000
    238      0.262500      0.257772      0.000000
    239      0.237500      0.257772      0.000000
    240      0.287500      0.257772      0.000000
    241      0.250000      0.279423      0.000000
    242      0.225000      0.279423      0.000000
    243      0.300000     -0.326795      0.000000
    244      0.237500      0.301073      0.000000
    245      0.212500      0.301073      0.000000
    246      0.200000      0.279423      0.000000
    247      0.312500     -0.218542      0.000000
    248      0.187500      0.301073      0.000000
    249      0.175000      0.279423      0.000000
    250      0.200000      0.322724      0.000000
    251      0.175000      0.322724      0.000000
    252      0.187500      0.344375      0.000000
    253      0.162500      0.344375      0.000000
    254      0.350000     -0.283494      0.000000
    255      0.175000      0.366025      0.000000
    256      0.200000      0.366025      0.000000
    257      0.150000      0.366025      0.000000
    258      0.137500      0.344375      0.000000
    259      0.124991      0.366020      0.000000
    260      0.300000      0.236122      0.000000
    261      0.312500      0.257772      0.000000
    262      0.325000      0.236122      0.000000
    263      0.337500      0.257772      0.000000
    264      0.325000      0.279423      0.000000
    265      0.350000      0.279423      0.000000
    266      0.337500      0.301073      0.000000
    267      0.350000      0.236122      0.000000
    268      0.362500      0.301073      0.000000
    269      0.350000      0.322724      0.000000
    270      0.375000      0.322724      0.000000
    271      0.362500      0.344375      0.000000
    272      0.337500      0.344375      0.000000
    273      0.350000      0.366025      0.000000
    274      0.325000      0.366025      0.000000
    275      0.375000      0.366025      0.000000
    276      0.337500      0.214471      0.000000
    277      0.362500      0.214471      0.000000
    278      0.350000      0.192820      0.000000
    279      0.375000      0.192820      0.000000
    280      0.362500      0.171170      0.000000
    281      0.287500      0.041266      0.000000
    282      0.325000     -0.370096      0.000000
    283      0.212500     -0.002035      0.000000
    284      0.200000      0.019615      0.000000
    285      0.187500     -0.002035      0.000000
    286      0.175000      0.019615      0.000000
    287      0.162500     -0.002035      0.000000
    288      0.150000      0.019615      0.000000
    289      0.162500      0.041266      0.000000
    290      0.137500      0.041266      0.000000
    291      0.150000      0.062917      0.000000
    292      0.137500     -0.002035      0.000000
    293      0.150000     -0.023686      0.000000
    294      0.125000      0.062917      0.000000
    295      0.137500      0.084567      0.000000
    296      0.125000     -0.023686      0.000000
    297      0.137500     -0.045337      0.000000
    298      0.212500     -0.175240      0.000000
    299      0.200000     -0.196891      0.000000
    300      0.187500     -0.175240      0.000000
    301      0.175000     -0.196891      0.000000
    302      0.162500     -0.175240      0.000000
    303      0.150000     -0.196891      0.000000
    304      0.162500     -0.218542      0.000000
    305      0.137500     -0.175240      0.000000
    306      0.137500     -0.218542      0.000000
    307      0.150000     -0.240192      0.000000
    308      0.125000     -0.240192      0.000000
    309      0.137500     -0.261843      0.000000
    310      0.175000     -0.153590      0.000000
    311      0.300000      0.062917      0.000000
    312      0.312500      0.041266      0.000000
    313      0.325000      0.062917      0.000000
    314      0.337500      0.041266      0.000000
    315      0.350000      0.062917      0.000000
    316      0.362500      0.041266      0.000000
    317      0.350000      0.019615      0.000000
    318      0.375000      0.062917      0.000000
    319      0.375000      0.019615      0.000000
    320      0.362500     -0.002035      0.000000
    321      0.162500     -0.261843      0.000000
    322      0.150000     -0.283494      0.000000
    323      0.125000     -0.283494      0.000000
    324      0.137500     -0.305144      0.000000
    325      0.162500     -0.305144      0.000000
    326      0.150000     -0.326795      0.000000
    327      0.175000     -0.326795      0.000000
    328      0.162500     -0.348446      0.000000
    329      0.187500     -0.348446      0.000000
    330      0.137500     -0.348446      0.000000
    331      0.212500      0.171170      0.000000
    332      0.375000     -0.326795      0.000000
    333      0.375000      0.279423      0.000000
    334      0.150000     -0.370096      0.000000
    335      0.125000     -0.370096      0.000000
    336      0.387500      0.171170      0.000000
    337      0.112500     -0.305144      0.000000
    338      0.112500     -0.002035      0.000000
    339      0.387256     -0.002176      0.000000
    340      0.374959     -0.023709      0.000000
    341      0.112500     -0.218542      0.000000
    342      0.112500      0.344375      0.000000
    343      0.112683      0.084462      0.000000
    344      0.125030      0.106200      0.000000
    345      0.137498      0.387675      0.000000
    346      0.187500      0.387676      0.000000
    347      0.212500      0.387676      0.000000
    348      0.337500      0.387676      0.000000
    349      0.312500      0.387676      0.000000
    350      0.112489      0.387670      0.000000
    351      0.387500      0.214471      0.000000
    352      0.112500     -0.045337      0.000000
    353      0.125000     -0.066987      0.000000
    354      0.337500      0.084567      0.000000
    355      0.200000     -0.326795      0.000000
    356      0.212500     -0.348446      0.000000
    357      0.200000     -0.370096      0.000000
    358      0.225000     -0.370096      0.000000
    359      0.150000     -0.066987      0.000000
    360      0.300000      0.366025      0.000000
    361      0.212500     -0.391747      0.000000
    362      0.237500     -0.391747      0.000000
    363      0.400000      0.019615      0.000000
    364      0.287500      0.127868      0.000000
    365      0.212500      0.127868      0.000000
    366      0.137500     -0.391747      0.000000
    367      0.112500     -0.391747      0.000000
    368      0.100000     -0.066987      0.000000
    369      0.112500     -0.088638      0.000000
    370      0.100000     -0.283494      0.000000
    371      0.400000     -0.370096      0.000000
    372      0.124998      0.409325      0.000000
    373      0.099409      0.409630      0.000000
    374      0.100213      0.062793      0.000000
    375      0.086643      0.387908      0.000000
    376      0.101276      0.105337      0.000000
    377      0.112755      0.127697      0.000000
    378      0.100000     -0.370096      0.000000
    379      0.399079     -0.024218      0.000000
    380      0.387340     -0.045429      0.000000
    381      0.362467     -0.045356      0.000000
    382      0.374968     -0.067006      0.000000
    383      0.400632     -0.066509      0.000000
    384      0.388350     -0.087772      0.000000
    385      0.362636     -0.088497      0.000000
    386      0.375164     -0.110121      0.000000
    387      0.400350     -0.109704      0.000000
    388      0.387500     -0.131939      0.000000
    389      0.362527     -0.131911      0.000000
    390      0.375005     -0.153585      0.000000
    391      0.400001     -0.153589      0.000000
    392      0.387501     -0.175240      0.000000
    393      0.375000      0.149519      0.000000
    394      0.400000      0.149519      0.000000
    395      0.125000      0.322724      0.000000
    396      0.100014      0.322716      0.000000
    397      0.112502      0.301072      0.000000
    398      0.212500     -0.218542      0.000000
    399      0.137548      0.127837      0.000000
    400      0.125050      0.149485      0.000000
    401      0.100842      0.149898      0.000000
    402      0.112649      0.171227      0.000000
    403      0.137533      0.171174      0.000000
    404      0.125030      0.192831      0.000000
    405      0.100030      0.192832      0.000000
    406      0.112510      0.214475      0.000000
    407      0.150003      0.192821      0.000000
    408      0.262500      0.301073      0.000000
    409      0.350000     -0.413398      0.000000
    410      0.225000     -0.326795      0.000000
    411      0.212500     -0.305144      0.000000
    412      0.225000      0.366025      0.000000
    413      0.187500      0.257772      0.000000
    414      0.237500      0.387676      0.000000
    415      0.350005     -0.153584      0.000000
    416      0.087500     -0.305144      0.000000
    417      0.087917     -0.045096      0.000000
    418      0.200000      0.409327      0.000000
    419      0.325195      0.409214      0.000000
    420      0.350032      0.409308      0.000000
    421      0.300725      0.410101      0.000000
    422      0.087500     -0.088638      0.000000
    423      0.100000     -0.110289      0.000000
    424      0.087507      0.214473      0.000000
    425      0.087339     -0.391654      0.000000
    426      0.412321      0.171273      0.000000
    427      0.087784      0.300909      0.000000
    428      0.412500     -0.175240      0.000000
    429      0.400000     -0.196891      0.000000
    430      0.425000     -0.153590      0.000000
    431      0.387500      0.127868      0.000000
    432      0.412500      0.127868      0.000000
    433      0.350000      0.149519      0.000000
    434      0.175000      0.062917      0.000000
    435      0.337500     -0.002035      0.000000
    436      0.250000     -0.370096      0.000000
    437      0.262500     -0.391747      0.000000
    438      0.250000     -0.413397      0.000000
    439      0.275000     -0.413397      0.000000
    440      0.125000     -0.110289      0.000000
    441      0.100048      0.279395      0.000000
    442      0.162500      0.257772      0.000000
    443      0.337505     -0.131934      0.000000
    444      0.099973     -0.413382      0.000000
    445      0.375000     -0.196891      0.000000
    446      0.387500     -0.218542      0.000000
    447      0.412500     -0.218542      0.000000
    448      0.400000     -0.240192      0.000000
    449      0.075006      0.192823      0.000000
    450      0.075176      0.279372      0.000000
    451      0.075190     -0.283603      0.000000
    452      0.425000     -0.240192      0.000000
    453      0.412500     -0.261843      0.000000
    454      0.074808     -0.413287      0.000000
    455      0.424999     -0.413398      0.000000
    456      0.111821      0.431414      0.000000
    457      0.085930      0.432696      0.000000
    458      0.137387      0.431050      0.000000
    459      0.337733      0.430843      0.000000
    460      0.362544      0.431577      0.000000
    461      0.075838      0.322744      0.000000
    462      0.075000     -0.110289      0.000000
    463      0.087500     -0.131939      0.000000
    464      0.074895     -0.369758      0.000000
    465      0.062500     -0.131939      0.000000
